,dataset,model,max_accuracy,mean_accuracy,std_accuracy,test_accs,max_layer
10,CaFE,HUBERT_LARGE,83.76068472862244,"[39.82906044 54.44444597 59.31624055 60.59829116 63.84615421 66.0683763
 70.08546948 72.39316225 71.62393093 73.76068354 75.81196547 78.37606788
 78.88888836 79.23076868 78.11965823 74.78632569 77.52136707 75.72649479
 77.09401727 75.47008514 68.37606788 69.82906103 67.00854659 73.67521405
 71.79487228]","[1.25031948 3.93162407 2.74836535 5.31978392 4.37987367 3.06502796
 2.7028022  2.45642971 4.18367134 2.5726349  1.39397395 3.82806642
 2.20572531 3.04110178 2.04771753 6.72992199 2.23859844 3.10998436
 3.77038413 3.50948151 4.69696673 2.47125348 4.25980776 1.34054636
 2.17906944]","[[39.31623995304108, 52.13675498962402, 55.982905626297, 63.67521286010742, 68.37607026100159, 64.10256624221802, 69.65811848640442, 73.50427508354187, 74.35897588729858, 76.49572491645813, 78.20512652397156, 79.48718070983887, 79.91452813148499, 83.76068472862244, 74.35897588729858, 80.34188151359558, 79.91452813148499, 74.7863233089447, 82.05128312110901, 72.22222089767456, 59.82906222343445, 68.37607026100159, 64.52991366386414, 73.50427508354187, 69.65811848640442], [41.88034236431122, 47.863247990608215, 63.247865438461304, 51.70940160751343, 58.54700803756714, 62.39316463470459, 66.23931527137756, 76.06837749481201, 65.38461446762085, 70.08547186851501, 74.35897588729858, 70.94017267227173, 77.35042572021484, 74.35897588729858, 78.20512652397156, 61.965811252593994, 76.06837749481201, 73.93162250518799, 71.36752009391785, 72.22222089767456, 67.94871687889099, 71.79487347602844, 73.50427508354187, 73.50427508354187, 73.50427508354187], [38.88888955116272, 58.54700803756714, 60.256409645080566, 67.52136945724487, 67.52136945724487, 64.52991366386414, 71.36752009391785, 69.65811848640442, 77.35042572021484, 76.06837749481201, 75.2136766910553, 79.05982732772827, 79.48718070983887, 79.91452813148499, 79.48718070983887, 74.35897588729858, 79.48718070983887, 79.05982732772827, 79.05982732772827, 80.34188151359558, 73.07692170143127, 68.8034176826477, 61.11111044883728, 75.2136766910553, 74.35897588729858], [38.46153914928436, 57.26495981216431, 56.41025900840759, 58.54700803756714, 58.54700803756714, 68.8034176826477, 74.35897588729858, 69.65811848640442, 68.8034176826477, 74.7863233089447, 74.7863233089447, 80.7692289352417, 75.64102411270142, 79.91452813148499, 78.20512652397156, 79.48718070983887, 78.20512652397156, 79.48718070983887, 78.63247990608215, 73.50427508354187, 72.22222089767456, 66.66666865348816, 66.23931527137756, 71.36752009391785, 72.64957427978516], [40.59829115867615, 56.41025900840759, 60.68376302719116, 61.538463830947876, 66.23931527137756, 70.51281929016113, 68.8034176826477, 73.07692170143127, 72.22222089767456, 71.36752009391785, 76.49572491645813, 81.62392973899841, 82.05128312110901, 78.20512652397156, 80.34188151359558, 77.77777910232544, 73.93162250518799, 71.36752009391785, 74.35897588729858, 79.05982732772827, 68.8034176826477, 73.50427508354187, 69.65811848640442, 74.7863233089447, 68.8034176826477]]",13
11,CaFE,WAV2VEC2_ASR_LARGE_960H,75.2136766910553,"[45.98290622 60.854702   60.59829116 65.81196547 67.60683775 69.1452992
 65.2136755  71.19658113 67.94871807 69.31624055 67.26495743 69.74359035
 70.00000119 71.02564096 71.11111283 69.14530039 67.7777791  66.15384698
 65.64102769 64.70085502 59.57265139 48.03418875 36.83760762 36.4957273
 27.86324859]","[5.36899071 2.79056875 1.97508028 1.26772616 4.46903166 1.56202278
 1.284898   1.67922198 2.60648792 1.38872538 2.33444427 1.97508079
 3.20256263 3.1217065  1.47048286 2.5122965  2.52968313 2.4977155
 2.61488165 6.08340495 2.05128148 5.78172137 4.87554183 2.67017067
 5.83705028]","[[44.44444477558136, 56.83760643005371, 58.974361419677734, 67.09401607513428, 68.37607026100159, 69.2307710647583, 67.52136945724487, 72.64957427978516, 66.66666865348816, 67.09401607513428, 63.67521286010742, 71.79487347602844, 66.66666865348816, 68.37607026100159, 70.94017267227173, 71.36752009391785, 63.247865438461304, 66.66666865348816, 61.538463830947876, 60.68376302719116, 58.974361419677734, 50.0, 32.05128312110901, 36.752137541770935, 35.470086336135864], [41.025641560554504, 58.974361419677734, 57.692307233810425, 67.09401607513428, 59.40170884132385, 66.23931527137756, 64.95726704597473, 70.51281929016113, 72.64957427978516, 70.08547186851501, 70.51281929016113, 66.23931527137756, 75.2136766910553, 67.09401607513428, 73.50427508354187, 67.52136945724487, 68.37607026100159, 62.39316463470459, 69.2307710647583, 69.65811848640442, 61.11111044883728, 52.56410241127014, 29.914531111717224, 36.32478713989258, 20.085470378398895], [46.581196784973145, 60.68376302719116, 62.82051205635071, 65.81196784973145, 71.36752009391785, 69.2307710647583, 65.38461446762085, 70.51281929016113, 65.38461446762085, 70.08547186851501, 65.81196784973145, 71.36752009391785, 70.08547186851501, 70.51281929016113, 71.79487347602844, 65.81196784973145, 70.94017267227173, 67.52136945724487, 66.66666865348816, 55.12820482254028, 58.974361419677734, 47.43589758872986, 39.743590354919434, 31.623932719230652, 32.05128312110901], [41.88034236431122, 64.52991366386414, 61.11111044883728, 63.67521286010742, 67.09401607513428, 70.51281929016113, 63.67521286010742, 73.50427508354187, 66.23931527137756, 68.37607026100159, 67.94871687889099, 70.08547186851501, 71.36752009391785, 73.93162250518799, 69.2307710647583, 72.64957427978516, 67.52136945724487, 64.52991366386414, 64.10256624221802, 71.79487347602844, 62.39316463470459, 37.17948794364929, 40.59829115867615, 39.31623995304108, 22.22222238779068], [55.982905626297, 63.247865438461304, 62.39316463470459, 65.38461446762085, 71.79487347602844, 70.51281929016113, 64.52991366386414, 68.8034176826477, 68.8034176826477, 70.94017267227173, 68.37607026100159, 69.2307710647583, 66.66666865348816, 75.2136766910553, 70.08547186851501, 68.37607026100159, 68.8034176826477, 69.65811848640442, 66.66666865348816, 66.23931527137756, 56.41025900840759, 52.99145579338074, 41.88034236431122, 38.46153914928436, 29.487180709838867]]",12
12,CaFE,WAV2VEC2_BASE,70.94017267227173,"[47.43589818 62.05128312 67.77777791 62.56410241 62.1367538  62.47863293
 60.34188151 66.23931646 62.5641036  65.81196666 59.23076928 44.44444478
 38.46153915]","[4.29906923 4.33629161 1.72217481 2.55839762 1.41993533 1.86081558
 3.47601711 2.1109543  3.59177743 3.36496058 5.78803518 2.35624751
 2.41745894]","[[46.15384638309479, 63.67521286010742, 65.81196784973145, 65.38461446762085, 62.39316463470459, 61.11111044883728, 60.68376302719116, 62.39316463470459, 56.41025900840759, 61.965811252593994, 59.40170884132385, 42.73504316806793, 35.04273593425751], [39.743590354919434, 64.95726704597473, 67.94871687889099, 63.67521286010742, 64.10256624221802, 60.68376302719116, 61.965811252593994, 67.09401607513428, 66.23931527137756, 69.2307710647583, 62.39316463470459, 47.0085471868515, 41.88034236431122], [49.145299196243286, 64.10256624221802, 67.09401607513428, 58.54700803756714, 62.82051205635071, 61.11111044883728, 56.83760643005371, 66.23931527137756, 63.247865438461304, 61.538463830947876, 57.692307233810425, 47.0085471868515, 40.17094075679779], [50.0, 53.418803215026855, 70.94017267227173, 64.52991366386414, 59.82906222343445, 64.95726704597473, 56.41025900840759, 68.8034176826477, 61.11111044883728, 67.52136945724487, 49.57264959812164, 41.025641560554504, 36.752137541770935], [52.13675498962402, 64.10256624221802, 67.09401607513428, 60.68376302719116, 61.538463830947876, 64.52991366386414, 65.81196784973145, 66.66666865348816, 65.81196784973145, 68.8034176826477, 67.09401607513428, 44.44444477558136, 38.46153914928436]]",2
13,CaFE,WAV2VEC2_LARGE,79.91452813148499,"[49.31623995 58.11965942 62.22222328 66.75213695 67.26495743 70.
 72.56410122 74.70085382 74.10256505 69.65811968 72.56410241 71.70940161
 72.05128193 72.90598392 74.27350402 73.41880322 74.61538315 73.33333373
 74.52991486 68.63247991 65.38461566 63.93162608 45.81196666 28.88889015
 30.51282167]","[6.93625389 2.87311821 2.42650676 0.82866305 2.2709973  1.82113351
 2.13504192 1.67486486 3.66226982 1.50485639 1.89966806 3.07454685
 2.33444444 2.15547407 3.68017877 1.06065638 2.55839806 2.33444427
 1.34054636 1.19658061 2.40230209 3.21621993 6.51705902 1.63513892
 1.80501802]","[[54.27350401878357, 60.68376302719116, 58.974361419677734, 67.94871687889099, 68.37607026100159, 68.37607026100159, 71.36752009391785, 74.7863233089447, 73.50427508354187, 69.65811848640442, 69.65811848640442, 65.81196784973145, 73.93162250518799, 76.92307829856873, 78.20512652397156, 75.2136766910553, 75.64102411270142, 73.50427508354187, 74.35897588729858, 66.66666865348816, 64.52991366386414, 63.247865438461304, 47.863247990608215, 28.205129504203796, 31.623932719230652], [57.692307233810425, 55.12820482254028, 59.82906222343445, 66.23931527137756, 69.2307710647583, 72.22222089767456, 73.07692170143127, 75.2136766910553, 79.91452813148499, 70.94017267227173, 74.35897588729858, 73.07692170143127, 72.22222089767456, 72.64957427978516, 70.51281929016113, 72.22222089767456, 73.93162250518799, 75.2136766910553, 72.22222089767456, 68.37607026100159, 67.52136945724487, 70.08547186851501, 32.90598392486572, 29.487180709838867, 31.196582317352295], [50.427353382110596, 62.39316463470459, 64.52991366386414, 67.52136945724487, 69.65811848640442, 68.37607026100159, 76.49572491645813, 77.35042572021484, 74.35897588729858, 71.36752009391785, 71.36752009391785, 72.64957427978516, 69.65811848640442, 71.79487347602844, 69.2307710647583, 73.93162250518799, 72.22222089767456, 70.51281929016113, 76.06837749481201, 70.08547186851501, 68.8034176826477, 62.39316463470459, 50.427353382110596, 26.06837749481201, 31.196582317352295], [37.60683834552765, 56.41025900840759, 64.95726704597473, 65.81196784973145, 64.52991366386414, 72.22222089767456, 70.51281929016113, 73.93162250518799, 68.37607026100159, 67.09401607513428, 72.64957427978516, 74.7863233089447, 75.2136766910553, 70.51281929016113, 76.06837749481201, 72.64957427978516, 79.05982732772827, 76.49572491645813, 74.35897588729858, 69.65811848640442, 63.67521286010742, 63.247865438461304, 49.57264959812164, 30.769231915473938, 31.623932719230652], [46.581196784973145, 55.982905626297, 62.82051205635071, 66.23931527137756, 64.52991366386414, 68.8034176826477, 71.36752009391785, 72.22222089767456, 74.35897588729858, 69.2307710647583, 74.7863233089447, 72.22222089767456, 69.2307710647583, 72.64957427978516, 77.35042572021484, 73.07692170143127, 72.22222089767456, 70.94017267227173, 75.64102411270142, 68.37607026100159, 62.39316463470459, 60.68376302719116, 48.29059839248657, 29.914531111717224, 26.923078298568726]]",8
14,CaFE,WAV2VEC2_LARGE_XLSR,84.18803215026855,"[44.27350461 58.11965823 63.84615541 64.18803573 68.97435904 75.6410253
 76.32478714 80.68376064 80.         80.17094016 78.7179482  75.81196547
 77.4358964  75.04273415 75.98290563 75.72649598 78.71794939 75.72649598
 76.23931646 72.82051325 69.23077106 68.37606788 22.56410271 20.59829086
 20.08547038]","[3.56113939 3.08166691 1.31301675 4.94250674 5.76273752 2.34069433
 3.17046732 1.89966635 1.89966806 2.89338623 1.73905939 3.4464684
 2.29976563 5.30740966 3.4760174  2.31559259 2.36243994 2.87819821
 3.25011108 5.80064217 2.47715827 2.50647518 1.41478157 1.41478157
 3.16354776]","[[44.44444477558136, 57.692307233810425, 63.247865438461304, 56.41025900840759, 61.965811252593994, 72.22222089767456, 75.2136766910553, 80.34188151359558, 78.63247990608215, 83.76068472862244, 75.64102411270142, 70.94017267227173, 75.64102411270142, 73.50427508354187, 79.05982732772827, 75.2136766910553, 78.63247990608215, 72.64957427978516, 79.48718070983887, 67.94871687889099, 67.52136945724487, 67.94871687889099, 20.94017118215561, 20.512820780277252, 17.094017565250397], [45.299145579338074, 63.67521286010742, 64.95726704597473, 70.94017267227173, 78.20512652397156, 76.92307829856873, 78.20512652397156, 79.48718070983887, 79.48718070983887, 81.62392973899841, 79.48718070983887, 80.7692289352417, 75.64102411270142, 79.91452813148499, 80.34188151359558, 73.50427508354187, 80.34188151359558, 74.7863233089447, 76.49572491645813, 78.63247990608215, 67.52136945724487, 70.08547186851501, 24.78632479906082, 21.367521584033966, 21.367521584033966], [49.57264959812164, 58.54700803756714, 62.82051205635071, 61.965811252593994, 72.64957427978516, 77.35042572021484, 80.34188151359558, 84.18803215026855, 83.76068472862244, 79.05982732772827, 78.20512652397156, 73.07692170143127, 81.1965823173523, 82.47863054275513, 74.7863233089447, 73.07692170143127, 74.35897588729858, 74.7863233089447, 70.08547186851501, 75.2136766910553, 71.79487347602844, 69.65811848640442, 23.50427359342575, 22.649572789669037, 24.358974397182465], [38.46153914928436, 54.700857400894165, 65.81196784973145, 67.52136945724487, 66.66666865348816, 78.20512652397156, 70.94017267227173, 78.63247990608215, 79.05982732772827, 81.1965823173523, 80.7692289352417, 77.35042572021484, 79.05982732772827, 68.8034176826477, 75.2136766910553, 78.63247990608215, 81.1965823173523, 81.1965823173523, 78.20512652397156, 78.20512652397156, 72.64957427978516, 63.67521286010742, 22.22222238779068, 20.085470378398895, 21.794871985912323], [43.589743971824646, 55.982905626297, 62.39316463470459, 64.10256624221802, 65.38461446762085, 73.50427508354187, 76.92307829856873, 80.7692289352417, 79.05982732772827, 75.2136766910553, 79.48718070983887, 76.92307829856873, 75.64102411270142, 70.51281929016113, 70.51281929016113, 78.20512652397156, 79.05982732772827, 75.2136766910553, 76.92307829856873, 64.10256624221802, 66.66666865348816, 70.51281929016113, 21.367521584033966, 18.376068770885468, 15.811966359615326]]",7
15,CaFE,WAV2VEC2_LARGE_XLSR300M,83.33333134651184,"[39.14529979 55.2136755  65.21367431 66.4957273  69.572649   70.17094016
 73.76068473 77.52136707 76.83760643 76.0683763  80.42734981 79.48717952
 79.572649   81.11111164 80.51281929 76.92307591 78.03418875 75.2136755
 75.81196547 74.70085502 72.22222209 72.1367538  39.23076987 22.05128223
 23.24786365]","[2.39621281 5.07378526 1.25614851 3.11233244 4.82281592 1.3621696
 2.22222273 2.42650676 3.07454685 1.85294636 1.19046081 1.50485504
 2.408377   1.27919799 1.36752196 4.61854959 2.61488239 5.03476119
 3.6120587  4.03976209 2.37169848 4.24262322 3.74901041 1.80501802
 1.76408299]","[[40.59829115867615, 61.965811252593994, 65.38461446762085, 69.2307710647583, 62.82051205635071, 69.65811848640442, 74.35897588729858, 79.91452813148499, 77.35042572021484, 79.05982732772827, 79.91452813148499, 80.34188151359558, 76.49572491645813, 79.48718070983887, 79.91452813148499, 77.35042572021484, 81.1965823173523, 71.79487347602844, 76.49572491645813, 74.7863233089447, 73.93162250518799, 73.50427508354187, 33.76068472862244, 19.23076957464218, 24.358974397182465], [37.60683834552765, 57.692307233810425, 66.23931527137756, 61.11111044883728, 65.38461446762085, 68.8034176826477, 70.94017267227173, 80.7692289352417, 79.91452813148499, 73.50427508354187, 79.05982732772827, 79.91452813148499, 82.05128312110901, 80.34188151359558, 80.7692289352417, 82.90598392486572, 75.2136766910553, 78.63247990608215, 72.64957427978516, 68.8034176826477, 67.94871687889099, 64.95726704597473, 39.31623995304108, 22.649572789669037, 22.22222238779068], [43.16239356994629, 47.43589758872986, 65.38461446762085, 67.94871687889099, 75.64102411270142, 69.2307710647583, 71.36752009391785, 75.2136766910553, 78.20512652397156, 75.2136766910553, 82.05128312110901, 77.77777910232544, 79.48718070983887, 81.1965823173523, 78.20512652397156, 79.05982732772827, 78.63247990608215, 77.77777910232544, 71.36752009391785, 71.79487347602844, 72.64957427978516, 70.08547186851501, 37.60683834552765, 24.78632479906082, 23.50427359342575], [36.752137541770935, 57.26495981216431, 66.23931527137756, 64.95726704597473, 73.50427508354187, 70.51281929016113, 76.06837749481201, 76.92307829856873, 70.94017267227173, 75.64102411270142, 79.48718070983887, 81.62392973899841, 82.47863054275513, 83.33333134651184, 81.62392973899841, 68.8034176826477, 80.34188151359558, 67.09401607513428, 76.92307829856873, 79.48718070983887, 71.79487347602844, 75.2136766910553, 45.299145579338074, 21.367521584033966, 20.512820780277252], [37.60683834552765, 51.70940160751343, 62.82051205635071, 69.2307710647583, 70.51281929016113, 72.64957427978516, 76.06837749481201, 74.7863233089447, 77.77777910232544, 76.92307829856873, 81.62392973899841, 77.77777910232544, 77.35042572021484, 81.1965823173523, 82.05128312110901, 76.49572491645813, 74.7863233089447, 80.7692289352417, 81.62392973899841, 78.63247990608215, 74.7863233089447, 76.92307829856873, 40.17094075679779, 22.22222238779068, 25.641027092933655]]",13
16,EMOVO,HUBERT_ASR_LARGE,67.34693646430969,"[23.16326588 29.79591846 30.51020384 32.14285731 37.85714328 37.14285731
 37.85714269 44.6938765  43.36734653 48.26530576 48.97959173 61.63265347
 65.30612111 59.48979735 60.20408273 53.57142806 51.83673441 49.3877542
 45.20408154 45.61224461 43.97959173 44.18367267 38.26530695 32.34693885
 25.10204047]","[3.63070345 2.20275818 3.28121181 3.84519297 7.31142205 4.95082035
 4.08673135 6.83444939 6.18168538 9.08449891 3.17804261 2.48694935
 1.40653492 1.56758002 3.41493726 2.97497588 3.90697831 6.82530161
 6.80391159 1.14540573 6.59249952 2.4060869  5.57034421 3.94675118
 2.22158532]","[[30.102041363716125, 33.673468232154846, 30.102041363716125, 30.612245202064514, 30.612245202064514, 43.8775509595871, 43.8775509595871, 43.8775509595871, 43.36734712123871, 53.06122303009033, 46.93877696990967, 57.14285969734192, 66.32652878761292, 60.20408272743225, 59.69387888908386, 52.55101919174194, 54.08163070678711, 56.122446060180664, 44.387754797935486, 45.91836631298065, 42.85714328289032, 43.36734712123871, 43.8775509595871, 31.63265287876129, 25.51020383834839], [20.408163964748383, 29.591837525367737, 33.16326439380646, 36.22449040412903, 38.26530575752258, 41.83673560619354, 39.79591727256775, 44.387754797935486, 53.57142686843872, 59.183675050735474, 51.530611515045166, 62.244898080825806, 64.79591727256775, 61.22449040412903, 59.183675050735474, 48.97959232330322, 45.91836631298065, 49.48979616165161, 52.55101919174194, 43.8775509595871, 35.20408272743225, 39.79591727256775, 28.57142984867096, 26.530611515045166, 26.020407676696777], [20.91836780309677, 30.102041363716125, 27.551019191741943, 26.530611515045166, 48.469388484954834, 30.612245202064514, 31.63265287876129, 33.673468232154846, 34.69387888908386, 33.16326439380646, 52.55101919174194, 61.73469424247742, 63.26530575752258, 60.20408272743225, 66.8367326259613, 54.5918345451355, 57.65306353569031, 50.0, 47.44898080825806, 47.44898080825806, 53.57142686843872, 45.91836631298065, 42.34693944454193, 38.26530575752258, 27.551019191741943], [20.91836780309677, 28.57142984867096, 26.530611515045166, 36.73469424247742, 42.85714328289032, 34.183672070503235, 35.71428656578064, 55.10203838348389, 44.897958636283875, 43.36734712123871, 50.0, 62.244898080825806, 67.34693646430969, 56.63265585899353, 57.65306353569031, 53.57142686843872, 51.02040767669678, 54.5918345451355, 32.65306055545807, 45.40816247463226, 48.97959232330322, 45.91836631298065, 40.816327929496765, 34.69387888908386, 25.51020383834839], [23.469388484954834, 27.040815353393555, 35.20408272743225, 30.612245202064514, 29.081633687019348, 35.20408272743225, 38.26530575752258, 46.42857015132904, 40.30612111091614, 52.55101919174194, 43.8775509595871, 64.79591727256775, 64.79591727256775, 59.183675050735474, 57.65306353569031, 58.163267374038696, 50.51020383834839, 36.73469424247742, 48.97959232330322, 45.40816247463226, 39.28571343421936, 45.91836631298065, 35.71428656578064, 30.612245202064514, 20.91836780309677]]",12
17,EMOVO,HUBERT_BASE,48.469388484954834,"[22.44897932 31.53061211 29.6938777  33.97959173 33.97959173 39.28571463
 44.79591846 38.06122422 39.89795923 39.18367386 39.6938771  37.04081595
 37.34693944]","[4.04318619 4.49906247 3.11851217 2.17899575 4.93185542 3.11182646
 4.27354934 6.58617946 4.45253559 2.33582129 3.89095463 2.1789953
 3.28121172]","[[24.48979616165161, 33.673468232154846, 26.020407676696777, 35.20408272743225, 25.0, 40.816327929496765, 36.73469424247742, 41.83673560619354, 46.42857015132904, 36.22449040412903, 43.36734712123871, 34.183672070503235, 34.183672070503235], [26.530611515045166, 23.979592323303223, 30.612245202064514, 31.122449040412903, 33.16326439380646, 35.20408272743225, 48.469388484954834, 37.244898080825806, 37.244898080825806, 42.34693944454193, 33.673468232154846, 35.20408272743225, 41.83673560619354], [18.36734712123871, 30.612245202064514, 28.061223030090332, 37.244898080825806, 37.244898080825806, 44.387754797935486, 47.959184646606445, 26.020407676696777, 41.326531767845154, 38.77550959587097, 37.755101919174194, 37.244898080825806, 34.69387888908386], [26.020407676696777, 37.755101919174194, 28.57142984867096, 34.183672070503235, 39.28571343421936, 37.755101919174194, 44.387754797935486, 45.40816247463226, 41.326531767845154, 37.244898080825806, 44.387754797935486, 40.30612111091614, 40.816327929496765], [16.836734116077423, 31.63265287876129, 35.20408272743225, 32.14285671710968, 35.20408272743225, 38.26530575752258, 46.42857015132904, 39.79591727256775, 33.16326439380646, 41.326531767845154, 39.28571343421936, 38.26530575752258, 35.20408272743225]]",6
18,EMOVO,HUBERT_LARGE,62.755101919174194,"[23.67346942 29.08163279 27.24489778 32.65306115 32.75510132 30.3061226
 36.53061152 38.77551019 46.83673382 48.7755096  52.65306115 52.24489748
 55.71428478 55.6122458  53.67346764 48.06122482 44.9999994  43.7755096
 44.18367326 40.3061223  38.16326499 39.38775539 34.6938777  40.81632614
 40.10204136]","[5.4052748  3.97828311 4.36038018 4.2808526  5.37436497 6.19514665
 3.46938743 9.12110158 6.6943742  3.9730448  2.98196756 5.01559431
 5.73066224 3.33784307 1.97337453 3.1185111  5.26672984 4.4408275
 3.4543491  2.37121445 4.70274193 5.22704059 5.87953491 3.14510894
 3.00284459]","[[24.48979616165161, 30.102041363716125, 27.040815353393555, 36.22449040412903, 27.040815353393555, 20.408163964748383, 31.122449040412903, 52.55101919174194, 38.77550959587097, 43.36734712123871, 51.02040767669678, 55.612242221832275, 59.69387888908386, 56.63265585899353, 54.08163070678711, 48.97959232330322, 44.897958636283875, 45.91836631298065, 49.48979616165161, 41.83673560619354, 38.26530575752258, 40.30612111091614, 41.326531767845154, 39.79591727256775, 37.244898080825806], [13.265305757522583, 34.183672070503235, 26.530611515045166, 31.122449040412903, 27.551019191741943, 26.020407676696777, 40.30612111091614, 35.71428656578064, 45.40816247463226, 50.51020383834839, 48.469388484954834, 50.51020383834839, 62.755101919174194, 56.63265585899353, 56.122446060180664, 48.469388484954834, 48.97959232330322, 39.79591727256775, 40.816327929496765, 43.8775509595871, 37.244898080825806, 42.34693944454193, 34.183672070503235, 37.755101919174194, 40.816327929496765], [28.57142984867096, 30.102041363716125, 35.20408272743225, 38.26530575752258, 40.30612111091614, 36.22449040412903, 34.183672070503235, 38.77550959587097, 54.08163070678711, 54.5918345451355, 52.040815353393555, 52.55101919174194, 45.91836631298065, 60.20408272743225, 52.55101919174194, 52.55101919174194, 52.55101919174194, 51.530611515045166, 46.42857015132904, 40.30612111091614, 45.91836631298065, 46.93877696990967, 23.979592323303223, 46.42857015132904, 44.387754797935486], [27.040815353393555, 29.081633687019348, 21.93877547979355, 26.020407676696777, 31.122449040412903, 36.22449040412903, 37.244898080825806, 24.48979616165161, 40.816327929496765, 45.40816247463226, 57.14285969734192, 58.673471212387085, 54.08163070678711, 54.5918345451355, 55.10203838348389, 42.85714328289032, 39.79591727256775, 40.30612111091614, 40.30612111091614, 37.755101919174194, 31.122449040412903, 32.14285671710968, 38.26530575752258, 41.83673560619354, 41.83673560619354], [25.0, 21.93877547979355, 25.51020383834839, 31.63265287876129, 37.755101919174194, 32.65306055545807, 39.79591727256775, 42.34693944454193, 55.10203838348389, 50.0, 54.5918345451355, 43.8775509595871, 56.122446060180664, 50.0, 50.51020383834839, 47.44898080825806, 38.77550959587097, 41.326531767845154, 43.8775509595871, 37.755101919174194, 38.26530575752258, 35.20408272743225, 35.71428656578064, 38.26530575752258, 36.22449040412903]]",12
19,EMOVO,WAV2VEC2_ASR_LARGE_960H,56.122446060180664,"[22.14285731 29.48979557 32.34693885 32.14285731 38.57142925 35.0000006
 42.85714269 40.51020443 45.6122452  51.63265228 50.10204017 46.93877578
 42.55102038 43.97959232 44.89795864 46.53061211 46.02040827 42.85714388
 46.32653117 42.55102038 37.65306056 35.61224461 32.95918345 31.22448921
 26.83673382]","[2.47014653 1.91988695 1.66423558 2.0661688  2.42762821 5.54786783
 2.66089859 8.72195355 5.69603453 2.40175443 4.82297925 2.49947935
 2.38435087 3.51115252 1.44307438 2.82046408 2.96445683 2.39306927
 3.13516135 2.29535142 2.68815059 2.17421198 1.05057499 1.77914264
 1.31470332]","[[22.448979318141937, 30.102041363716125, 31.63265287876129, 29.591837525367737, 40.816327929496765, 28.57142984867096, 40.816327929496765, 47.44898080825806, 45.91836631298065, 56.122446060180664, 53.06122303009033, 48.469388484954834, 45.40816247463226, 45.91836631298065, 46.42857015132904, 51.530611515045166, 44.897958636283875, 41.83673560619354, 51.02040767669678, 43.36734712123871, 40.30612111091614, 35.71428656578064, 32.14285671710968, 28.061223030090332, 26.530611515045166], [21.42857164144516, 31.122449040412903, 35.20408272743225, 34.183672070503235, 41.83673560619354, 43.8775509595871, 43.8775509595871, 39.28571343421936, 34.69387888908386, 50.0, 47.44898080825806, 47.959184646606445, 41.326531767845154, 40.816327929496765, 44.387754797935486, 46.93877696990967, 50.51020383834839, 40.816327929496765, 42.85714328289032, 38.26530575752258, 33.673468232154846, 39.28571343421936, 34.69387888908386, 32.14285671710968, 27.040815353393555], [23.979592323303223, 28.061223030090332, 30.102041363716125, 34.69387888908386, 37.244898080825806, 36.73469424247742, 44.897958636283875, 50.0, 47.959184646606445, 50.51020383834839, 54.5918345451355, 46.42857015132904, 39.79591727256775, 50.0, 45.40816247463226, 46.42857015132904, 47.959184646606445, 41.326531767845154, 46.93877696990967, 43.8775509595871, 39.28571343421936, 36.22449040412903, 32.14285671710968, 30.612245202064514, 28.061223030090332], [25.0, 26.530611515045166, 32.14285671710968, 30.102041363716125, 35.20408272743225, 29.591837525367737, 45.91836631298065, 40.816327929496765, 51.02040767669678, 49.48979616165161, 53.57142686843872, 49.48979616165161, 45.40816247463226, 41.326531767845154, 42.34693944454193, 43.36734712123871, 41.83673560619354, 42.85714328289032, 47.959184646606445, 44.897958636283875, 35.20408272743225, 33.16326439380646, 32.14285671710968, 32.14285671710968, 28.061223030090332], [17.85714328289032, 31.63265287876129, 32.65306055545807, 32.14285671710968, 37.755101919174194, 36.22449040412903, 38.77550959587097, 25.0, 48.469388484954834, 52.040815353393555, 41.83673560619354, 42.34693944454193, 40.816327929496765, 41.83673560619354, 45.91836631298065, 44.387754797935486, 44.897958636283875, 47.44898080825806, 42.85714328289032, 42.34693944454193, 39.79591727256775, 33.673468232154846, 33.673468232154846, 33.16326439380646, 24.48979616165161]]",9
